
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           7.05115963E-03   2.94164093E+02   1.26574291E+13
           7.09188916E-03   2.94164185E+02   1.26968933E+13
           7.13261869E-03   2.94164276E+02   1.27362757E+13
           7.17334868E-03   2.94164337E+02   1.27755784E+13
           7.21407821E-03   2.94164429E+02   1.28147993E+13
           7.25480821E-03   2.94164520E+02   1.28539406E+13
           7.29553774E-03   2.94164581E+02   1.28930032E+13
           7.33626774E-03   2.94164673E+02   1.29319871E+13
           7.37699727E-03   2.94164764E+02   1.29708935E+13
           7.41772726E-03   2.94164825E+02   1.30097233E+13
           7.45845679E-03   2.94164917E+02   1.30484755E+13
           7.49918679E-03   2.94165009E+02   1.30871523E+13
           7.53991632E-03   2.94165070E+02   1.31257546E+13
           7.58064585E-03   2.94165161E+02   1.31642813E+13
           7.62137584E-03   2.94165253E+02   1.32027347E+13
           7.66210537E-03   2.94165314E+02   1.32411147E+13
           7.70283537E-03   2.94165405E+02   1.32794223E+13
           7.74356490E-03   2.94165497E+02   1.33176576E+13
           7.78429490E-03   2.94165558E+02   1.33558205E+13
           7.82502443E-03   2.94165649E+02   1.33939132E+13
           7.86575396E-03   2.94165741E+02   1.34319356E+13
           7.90648442E-03   2.94165802E+02   1.34698878E+13
           7.94721395E-03   2.94165894E+02   1.35077707E+13
           7.98183028E-03   2.94165955E+02   1.35399180E+13
           8.01644567E-03   2.94166046E+02   1.35720159E+13
           8.05106200E-03   2.94166107E+02   1.36040646E+13
           8.08567833E-03   2.94166168E+02   1.36360650E+13
           8.12029373E-03   2.94166229E+02   1.36680172E+13
           8.15491006E-03   2.94166321E+02   1.36999202E+13
           8.18952639E-03   2.94166382E+02   1.37317770E+13
           8.22414272E-03   2.94166443E+02   1.37635855E+13
           8.25875811E-03   2.94166504E+02   1.37953469E+13
           8.29337444E-03   2.94166595E+02   1.38270621E+13
           8.32799077E-03   2.94166656E+02   1.38587301E+13
           8.36260710E-03   2.94166718E+02   1.38903521E+13
           8.39722250E-03   2.94166809E+02   1.39219289E+13
           8.43183883E-03   2.94166870E+02   1.39534596E+13
           8.46645515E-03   2.94166931E+02   1.39849451E+13
           8.50107148E-03   2.94166992E+02   1.40163856E+13
           8.53568688E-03   2.94167084E+02   1.40477821E+13
           8.57030321E-03   2.94167145E+02   1.40791335E+13
           8.60491954E-03   2.94167206E+02   1.41104408E+13
           8.63953587E-03   2.94167267E+02   1.41417052E+13
           8.67415126E-03   2.94167358E+02   1.41729255E+13
           8.70876759E-03   2.94167419E+02   1.42041028E+13
           8.74338392E-03   2.94167480E+02   1.42352371E+13
           8.77799932E-03   2.94167542E+02   1.42663284E+13
           8.81261565E-03   2.94167633E+02   1.42973778E+13
           8.84723198E-03   2.94167694E+02   1.43283842E+13
           8.88184831E-03   2.94167755E+02   1.43593497E+13
           8.91646370E-03   2.94167847E+02   1.43902732E+13
           8.95108003E-03   2.94167908E+02   1.44211559E+13
           8.98569636E-03   2.94167969E+02   1.44519966E+13
           9.02031269E-03   2.94168030E+02   1.44827975E+13
           9.05492809E-03   2.94168121E+02   1.45135575E+13
           9.08954442E-03   2.94168182E+02   1.45442776E+13
           9.12416074E-03   2.94168243E+02   1.45749568E+13
           9.15877707E-03   2.94168304E+02   1.46055973E+13
           9.19339247E-03   2.94168396E+02   1.46361979E+13
           9.22800880E-03   2.94168457E+02   1.46667586E+13
           9.26262513E-03   2.94168518E+02   1.46972806E+13
           9.29724053E-03   2.94168610E+02   1.47277648E+13
           9.33185685E-03   2.94168671E+02   1.47582091E+13
           9.36647318E-03   2.94168732E+02   1.47886157E+13
           9.40108951E-03   2.94168793E+02   1.48189846E+13
           9.43570491E-03   2.94168884E+02   1.48493157E+13
           9.47032124E-03   2.94168945E+02   1.48796091E+13
           9.50493757E-03   2.94169006E+02   1.49098647E+13
           9.53955390E-03   2.94169067E+02   1.49400836E+13
           9.57416929E-03   2.94169159E+02   1.49702658E+13
           9.60878562E-03   2.94169220E+02   1.50004103E+13
           9.64340195E-03   2.94169281E+02   1.50305191E+13
           9.67801828E-03   2.94169342E+02   1.50605922E+13
           9.71263368E-03   2.94169434E+02   1.50906287E+13
           9.74725001E-03   2.94169495E+02   1.51206305E+13
           9.78186633E-03   2.94169556E+02   1.51505957E+13
           9.81648173E-03   2.94169647E+02   1.51805263E+13
           9.85109806E-03   2.94169708E+02   1.52104212E+13
           9.88571439E-03   2.94169769E+02   1.52402815E+13
           9.92033072E-03   2.94169830E+02   1.52701072E+13
           9.95494612E-03   2.94169922E+02   1.52998982E+13
           9.98956244E-03   2.94169983E+02   1.53296547E+13
           1.00147333E-02   2.94170044E+02   1.32529321E+13
           1.00399032E-02   2.94170074E+02   1.17511784E+13
           1.00650731E-02   2.94170135E+02   1.17104339E+13
