
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           4.50180704E-03   3.00009766E+02   2.44376823E+13
           4.52764332E-03   3.00009827E+02   2.45085493E+13
           4.55347914E-03   3.00009888E+02   2.45792359E+13
           4.57931543E-03   3.00009918E+02   2.46497443E+13
           4.60515125E-03   3.00009979E+02   2.47200743E+13
           4.63098753E-03   3.00010040E+02   2.47902304E+13
           4.65682335E-03   3.00010101E+02   2.48602123E+13
           4.68265964E-03   3.00010162E+02   2.49300223E+13
           4.70849546E-03   3.00010223E+02   2.49996583E+13
           4.73433128E-03   3.00010254E+02   2.50691243E+13
           4.76016756E-03   3.00010315E+02   2.51384205E+13
           4.78207879E-03   3.00010376E+02   2.51970716E+13
           4.80399048E-03   3.00010406E+02   2.52555989E+13
           4.82590171E-03   3.00010468E+02   2.53140088E+13
           4.84781293E-03   3.00010529E+02   2.53722991E+13
           4.86972416E-03   3.00010559E+02   2.54304720E+13
           4.89163585E-03   3.00010620E+02   2.54885254E+13
           4.91354708E-03   3.00010651E+02   2.55464634E+13
           4.93545830E-03   3.00010712E+02   2.56042861E+13
           4.95736999E-03   3.00010742E+02   2.56619913E+13
           4.97928122E-03   3.00010803E+02   2.57195833E+13
           5.00119245E-03   3.00010834E+02   2.57770599E+13
           5.02310414E-03   3.00010895E+02   2.58344233E+13
           5.04501536E-03   3.00010956E+02   2.58916756E+13
           5.06692659E-03   3.00010986E+02   2.59488146E+13
           5.08883828E-03   3.00011047E+02   2.60058403E+13
           5.11074951E-03   3.00011078E+02   2.60627570E+13
           5.13266074E-03   3.00011139E+02   2.61195626E+13
           5.15457243E-03   3.00011169E+02   2.61762591E+13
           5.17648365E-03   3.00011230E+02   2.62328465E+13
           5.19839488E-03   3.00011261E+02   2.62893270E+13
           5.22030657E-03   3.00011322E+02   2.63456985E+13
           5.24221780E-03   3.00011383E+02   2.64019609E+13
           5.26412902E-03   3.00011414E+02   2.64581184E+13
           5.28604072E-03   3.00011475E+02   2.65141711E+13
           5.30795194E-03   3.00011505E+02   2.65701168E+13
           5.32986317E-03   3.00011566E+02   2.66259577E+13
           5.35177486E-03   3.00011597E+02   2.66816937E+13
           5.37368609E-03   3.00011658E+02   2.67373269E+13
           5.39559731E-03   3.00011688E+02   2.67928553E+13
           5.41750900E-03   3.00011749E+02   2.68482831E+13
           5.43942023E-03   3.00011810E+02   2.69036080E+13
           5.46133146E-03   3.00011841E+02   2.69588323E+13
           5.48324268E-03   3.00011902E+02   2.70139539E+13
           5.50515437E-03   3.00011932E+02   2.70689769E+13
           5.52706560E-03   3.00011993E+02   2.71238992E+13
           5.54897683E-03   3.00012024E+02   2.71787208E+13
           5.57088852E-03   3.00012085E+02   2.72334460E+13
           5.59279975E-03   3.00012146E+02   2.72880705E+13
           5.61471097E-03   3.00012177E+02   2.73425986E+13
           5.63662266E-03   3.00012238E+02   2.73970302E+13
           5.65853389E-03   3.00012268E+02   2.74513632E+13
           5.68044512E-03   3.00012329E+02   2.75055997E+13
           5.70235681E-03   3.00012360E+02   2.75597419E+13
           5.72426803E-03   3.00012421E+02   2.76137876E+13
           5.74617926E-03   3.00012451E+02   2.76677389E+13
           5.76809095E-03   3.00012512E+02   2.77215959E+13
           5.79000218E-03   3.00012573E+02   2.77753606E+13
           5.81191340E-03   3.00012604E+02   2.78290309E+13
           5.83382510E-03   3.00012665E+02   2.78826068E+13
           5.85573632E-03   3.00012695E+02   2.79360905E+13
           5.87764755E-03   3.00012756E+02   2.79894840E+13
           5.89955924E-03   3.00012787E+02   2.80427852E+13
           5.92147047E-03   3.00012848E+02   2.80959962E+13
           5.94338169E-03   3.00012878E+02   2.81491150E+13
           5.96529339E-03   3.00012939E+02   2.82021436E+13
           5.98720461E-03   3.00013000E+02   2.82550841E+13
           6.00911584E-03   3.00013031E+02   2.83079344E+13
           6.03102753E-03   3.00013092E+02   2.83606946E+13
           6.05293876E-03   3.00013123E+02   2.84133687E+13
           6.07484998E-03   3.00013184E+02   2.84659527E+13
